[08-22 04:01:34] [B] B-series start: min=100 b-min=80 plateau=25 threshold=0.68 parent=C:\Users\JUN\Desktop\airop\Release_260722_plz\artifacts\models\team01\E7_tail\bundle_000060
[08-22 09:16:18] [B] B2_bridge iter=88 score=0.961 success=1.000 dwell=1.000 survival=1.000 plateau=11
[08-22 09:22:18] [B] B2_bridge iter=92 score=0.960 success=1.000 dwell=1.000 survival=1.000 plateau=15
[08-22 09:26:18] [B] B2_bridge iter=95 score=0.960 success=1.000 dwell=1.000 survival=1.000 plateau=18
[08-22 09:28:18] [B] B2_bridge iter=96 score=0.960 success=1.000 dwell=1.000 survival=1.000 plateau=19
[08-22 09:32:19] [B] B2_bridge iter=99 score=0.960 success=1.000 dwell=1.000 survival=1.000 plateau=22
[08-22 09:38:19] [B] B2_bridge iter=103 score=0.961 success=1.000 dwell=1.000 survival=1.000 plateau=0
[08-22 09:42:19] [B] B2_bridge iter=107 score=0.960 success=1.000 dwell=1.000 survival=1.000 plateau=4
[08-22 09:48:19] [B] B2_bridge iter=111 score=0.961 success=1.000 dwell=1.000 survival=1.000 plateau=0
[08-22 09:50:20] [B] B2_bridge iter=113 score=0.961 success=1.000 dwell=1.000 survival=1.000 plateau=2
[08-22 09:54:20] [B] B2_bridge iter=115 score=0.952 success=1.000 dwell=1.000 survival=1.000 plateau=4
[08-22 09:56:20] [B] B2_bridge iter=117 score=0.952 success=1.000 dwell=1.000 survival=1.000 plateau=6
[08-22 10:00:20] [B] B2_bridge iter=119 score=0.951 success=1.000 dwell=1.000 survival=1.000 plateau=8
[08-22 10:02:20] [B] B2_bridge iter=121 score=0.950 success=1.000 dwell=1.000 survival=1.000 plateau=10
[08-22 10:04:20] [B] B2_bridge iter=122 score=0.950 success=1.000 dwell=1.000 survival=1.000 plateau=11
[08-22 10:08:21] [B] B2_bridge iter=125 score=0.950 success=1.000 dwell=1.000 survival=1.000 plateau=14
[08-22 10:10:21] [B] B2_bridge iter=126 score=0.948 success=1.000 dwell=1.000 survival=1.000 plateau=15
[08-22 10:14:21] [B] B2_bridge iter=130 score=0.948 success=1.000 dwell=1.000 survival=1.000 plateau=19
[08-22 10:18:21] [B] B2_bridge iter=132 score=0.948 success=1.000 dwell=1.000 survival=1.000 plateau=21
[08-22 10:20:21] [B] B2_bridge iter=134 score=0.957 success=1.000 dwell=1.000 survival=1.000 plateau=23
[08-22 10:24:21] [B] B2_bridge iter=136 score=0.957 success=1.000 dwell=1.000 survival=1.000 plateau=25
[08-22 10:24:21] [B] B2_bridge qualified and plateaued; requesting graceful stop at iter=136
[08-22 10:25:37] [B] B2_bridge promoted from peak iter=111.0 score=0.9607303425428764 bundle=C:\Users\JUN\Desktop\airop\Release_260722_plz\artifacts\models\team01\B2_bridge\bundle_000110
[08-22 10:25:37] [B] B3_bridge launch (peak-bundle transfer, cap=300, min=100) <- C:\Users\JUN\Desktop\airop\Release_260722_plz\artifacts\models\team01\B2_bridge\bundle_000110
[08-22 11:13:40] [B] B3_bridge iter=39 score=0.932 success=1.000 dwell=1.000 survival=1.000 plateau=0
[08-22 11:17:40] [B] B3_bridge iter=43 score=0.927 success=1.000 dwell=1.000 survival=1.000 plateau=4
